file_path,split,TYPE,WC,part
..\data\raw\preliminar\Test\测试集\TYPE0\Sample1\data_gearbox.csv,Test,TYPE0,Sample1,data_gearbox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample1\data_leftaxlebox.csv,Test,TYPE0,Sample1,data_leftaxlebox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample1\data_motor.csv,Test,TYPE0,Sample1,data_motor
..\data\raw\preliminar\Test\测试集\TYPE0\Sample1\data_rightaxlebox.csv,Test,TYPE0,Sample1,data_rightaxlebox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample2\data_gearbox.csv,Test,TYPE0,Sample2,data_gearbox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample2\data_leftaxlebox.csv,Test,TYPE0,Sample2,data_leftaxlebox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample2\data_motor.csv,Test,TYPE0,Sample2,data_motor
..\data\raw\preliminar\Test\测试集\TYPE0\Sample2\data_rightaxlebox.csv,Test,TYPE0,Sample2,data_rightaxlebox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample3\data_gearbox.csv,Test,TYPE0,Sample3,data_gearbox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample3\data_leftaxlebox.csv,Test,TYPE0,Sample3,data_leftaxlebox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample3\data_motor.csv,Test,TYPE0,Sample3,data_motor
..\data\raw\preliminar\Test\测试集\TYPE0\Sample3\data_rightaxlebox.csv,Test,TYPE0,Sample3,data_rightaxlebox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample4\data_gearbox.csv,Test,TYPE0,Sample4,data_gearbox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample4\data_leftaxlebox.csv,Test,TYPE0,Sample4,data_leftaxlebox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample4\data_motor.csv,Test,TYPE0,Sample4,data_motor
..\data\raw\preliminar\Test\测试集\TYPE0\Sample4\data_rightaxlebox.csv,Test,TYPE0,Sample4,data_rightaxlebox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample5\data_gearbox.csv,Test,TYPE0,Sample5,data_gearbox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample5\data_leftaxlebox.csv,Test,TYPE0,Sample5,data_leftaxlebox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample5\data_motor.csv,Test,TYPE0,Sample5,data_motor
..\data\raw\preliminar\Test\测试集\TYPE0\Sample5\data_rightaxlebox.csv,Test,TYPE0,Sample5,data_rightaxlebox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample6\data_gearbox.csv,Test,TYPE0,Sample6,data_gearbox
..\data\raw\preliminar\Test\测试集\TYPE0\Sample6\data_leftaxlebox.csv,Test,TYPE0,Sample6,data_leftaxlebox
